Exchange ,Scrip Code ,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Net Qty ,Buy Qty ,Buy Lot ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Avg. ,Net Lot ,Net Price ,Market Price ,MTM G/L  ,MTMV Pos ,Option Flag
Derv. Combined ,100067549 ,Options ,OPTIDX ,BANKNIFTY ,28APR2026 ,57000.00 ,PE ,-4710 , , , ,4710 ,157 ,809.68 ,-157 ,809.68 ,889.20 ,-374560.50 ,-4188132.00 ,NA
Derv. Combined ,100067475 ,Options ,OPTIDX ,BANKNIFTY ,28APR2026 ,54000.00 ,PE , ,1530 ,51 ,46.76 ,1530 ,51 ,43.56 , , ,42.00 ,-4891.50 ,0.00 ,NA
Derv. Combined ,100067533 ,Options ,OPTIDX ,BANKNIFTY ,28APR2026 ,56200.00 ,PE ,-4620 ,30 ,1 ,487.15 ,4650 ,155 ,475.46 ,-154 ,475.39 ,453.60 ,100653.00 ,-2095632.00 ,NA
Derv. Combined ,100067548 ,Options ,OPTIDX ,BANKNIFTY ,28APR2026 ,57000.00 ,CE ,1410 ,1410 ,47 ,688.60 , , , ,47 ,688.60 ,237.25 ,-636403.50 ,334522.50 ,NA
Derv. Combined ,100066691 ,Futures ,FUTIDX ,NIFTY ,28APR2026 , , ,65 ,65 ,1 ,24381.20 , , , ,1 ,24381.20 ,24166.00 ,-13988.00 ,1570790.00 ,NA
Derv. Combined ,100072259 ,Options ,OPTIDX ,NIFTY ,28APR2026 ,23900.00 ,CE ,-3055 , , , ,3055 ,47 ,550.40 ,-47 ,550.40 ,349.50 ,613749.50 ,-1067722.50 ,NA
Derv. Combined ,200880687 ,Options ,OPTIDX ,SENSEX ,23APR2026 ,78100.00 ,PE , ,560 ,28 ,385.54 ,560 ,28 ,164.00 , , ,434.45 ,-124060.00 ,0.00 ,NA
Derv. Combined ,200881115 ,Options ,OPTIDX ,SENSEX ,23APR2026 ,78400.00 ,PE , ,280 ,14 ,682.51 ,280 ,14 ,266.65 , , ,733.80 ,-116442.00 ,0.00 ,NA
Derv. Combined ,200881172 ,Options ,OPTIDX ,SENSEX ,23APR2026 ,78800.00 ,PE , ,560 ,28 ,1090.81 ,560 ,28 ,469.85 , , ,1133.00 ,-347740.00 ,0.00 ,NA
Derv. Combined ,200880784 ,Options ,OPTIDX ,SENSEX ,23APR2026 ,79500.00 ,PE , ,2920 ,146 ,1847.12 ,2920 ,146 ,1012.80 , , ,1839.50 ,-2436220.00 ,0.00 ,NA
Derv. Combined ,200881058 ,Options ,OPTIDX ,SENSEX ,23APR2026 ,78900.00 ,PE , ,560 ,28 ,1188.35 ,560 ,28 ,536.10 , , ,1232.40 ,-365258.00 ,0.00 ,NA
Derv. Combined ,200880841 ,Options ,OPTIDX ,SENSEX ,23APR2026 ,79000.00 ,PE , ,560 ,28 ,1288.73 ,560 ,28 ,607.95 , , ,1335.05 ,-381238.00 ,0.00 ,NA
Derv. Combined ,200880903 ,Options ,OPTIDX ,SENSEX ,23APR2026 ,79400.00 ,PE , ,560 ,28 ,1695.25 ,560 ,28 ,934.20 , , ,1737.95 ,-426190.00 ,0.00 ,NA
--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,--------------- ,---------------
(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,(ALL) ,-10910 ,9035 ,400 , ,19945 ,710 , ,-310 , , ,-4512589.00 ,-5446174.00 ,(ALL)
